Feature Name,Northmost Latitude,Southmost Latitude,Eastmost Longitude,Westmost Longitude,Center Latitude,Center Longitude,URL
Aaru,10.00,10.00,340.00,340.00,10.00,340.00,https://planetarynames.wr.usgs.gov/Feature/6981
Abaya Lacus,73.70,72.75,43.39,48.00,73.17,45.55,https://planetarynames.wr.usgs.gov/Feature/14314
Adiri,-10.00,-10.00,210.00,210.00,-10.00,210.00,https://planetarynames.wr.usgs.gov/Feature/6982
Afekan,25.80,25.80,200.30,200.30,25.80,200.30,https://planetarynames.wr.usgs.gov/Feature/14450
Akmena Lacus,85.40,84.70,53.00,58.80,85.10,55.60,https://planetarynames.wr.usgs.gov/Feature/15634
Albano Lacus,66.00,65.90,236.20,236.50,65.90,236.40,https://planetarynames.wr.usgs.gov/Feature/14769
Anbus Labyrinthus,40.40,38.00,213.30,216.60,39.20,215.00,https://planetarynames.wr.usgs.gov/Feature/15540
Angmar Montes,-9.50,-10.50,219.30,224.60,-10.00,221.90,https://planetarynames.wr.usgs.gov/Feature/14892
Annecy Lacus,76.90,76.60,128.20,129.80,76.80,128.90,https://planetarynames.wr.usgs.gov/Feature/15592
Antilia Faculae,-9.00,-14.00,184.00,190.00,-11.00,187.00,https://planetarynames.wr.usgs.gov/Feature/7001
Apanohuaya Flumen,84.06,84.52,292.69,301.78,84.29,297.24,https://planetarynames.wr.usgs.gov/Feature/15901
Ara Fluctus,40.40,39.60,117.60,119.00,39.80,118.40,https://planetarynames.wr.usgs.gov/Feature/14274
Arala Lacus,78.20,78.00,124.40,125.40,78.10,124.90,https://planetarynames.wr.usgs.gov/Feature/15595
Arnar Sinus,73.70,71.60,321.00,324.00,72.60,322.00,https://planetarynames.wr.usgs.gov/Feature/15294
Arrakis Planitia,-74.70,-80.80,113.10,134.60,-78.40,117.00,https://planetarynames.wr.usgs.gov/Feature/14656
Arwen Colles,-7.20,-7.80,259.20,260.60,-7.50,260.00,https://planetarynames.wr.usgs.gov/Feature/15072
Atacama Lacuna,68.50,67.70,226.80,228.00,68.20,227.60,https://planetarynames.wr.usgs.gov/Feature/14785
Atitlán Lacus,69.40,69.10,238.30,239.20,69.30,238.80,https://planetarynames.wr.usgs.gov/Feature/14770
Aura Undae,17.24,10.43,220.73,231.98,13.79,226.86,https://planetarynames.wr.usgs.gov/Feature/15360
Avacha Sinus,83.36,82.37,332.92,337.94,82.87,335.43,https://planetarynames.wr.usgs.gov/Feature/15902
Aztlan,-10.00,-10.00,20.00,20.00,-10.00,20.00,https://planetarynames.wr.usgs.gov/Feature/6983
Bacab Virgae,-15.00,-23.00,148.00,157.00,-19.00,151.00,https://planetarynames.wr.usgs.gov/Feature/7021
Baffin Sinus,81.10,79.45,337.59,352.15,80.35,344.62,https://planetarynames.wr.usgs.gov/Feature/15708
Balaton Lacus,83.30,82.60,84.50,89.70,82.90,87.50,https://planetarynames.wr.usgs.gov/Feature/15631
Bayta Fretum,74.60,71.50,306.00,316.90,73.00,311.20,https://planetarynames.wr.usgs.gov/Feature/15285
Bazaruto Facula,13.70,8.40,14.30,18.60,11.60,16.10,https://planetarynames.wr.usgs.gov/Feature/6992
Beag,-34.44,-35.04,169.23,169.87,-34.74,169.55,https://planetarynames.wr.usgs.gov/Feature/15312
Belet,-5.00,-5.00,255.00,255.00,-5.00,255.00,https://planetarynames.wr.usgs.gov/Feature/6984
Bermoothes Insula,67.80,66.00,314.30,318.90,67.10,317.10,https://planetarynames.wr.usgs.gov/Feature/15278
Bilbo Colles,-3.58,-4.76,36.52,40.38,-4.23,38.56,https://planetarynames.wr.usgs.gov/Feature/15073
Bimini Insula,73.70,72.90,304.70,306.00,73.30,305.40,https://planetarynames.wr.usgs.gov/Feature/15275
Bolsena Lacus,76.93,74.68,6.25,14.49,75.75,10.28,https://planetarynames.wr.usgs.gov/Feature/14315
Boni Sinus,79.08,78.08,342.92,348.02,78.69,345.38,https://planetarynames.wr.usgs.gov/Feature/15710
Boreas Undae,-4.70,-7.40,212.50,217.70,-6.00,215.00,https://planetarynames.wr.usgs.gov/Feature/14898
Bralgu Insulae,76.80,75.70,249.50,253.30,76.20,251.50,https://planetarynames.wr.usgs.gov/Feature/15282
Brienz Lacus,85.90,84.90,38.10,48.90,85.30,43.80,https://planetarynames.wr.usgs.gov/Feature/15635
Buada Lacus,76.50,76.30,129.20,129.90,76.40,129.60,https://planetarynames.wr.usgs.gov/Feature/15591
Buyan Insula,77.80,76.80,243.30,247.70,77.30,245.10,https://planetarynames.wr.usgs.gov/Feature/15281
Buzzell Planitia,-61.60,-76.50,242.10,287.50,-66.30,262.70,https://planetarynames.wr.usgs.gov/Feature/15478
Caladan Planitia,56.00,10.50,195.00,269.00,31.00,226.00,https://planetarynames.wr.usgs.gov/Feature/15261
Cardiel Lacus,70.20,70.20,206.50,206.50,70.20,206.50,https://planetarynames.wr.usgs.gov/Feature/14853
Cayuga Lacus,70.00,69.50,229.30,230.60,69.80,230.00,https://planetarynames.wr.usgs.gov/Feature/14771
Celadon Flumina,-72.30,-74.50,24.70,32.25,-73.70,28.80,https://planetarynames.wr.usgs.gov/Feature/15263
Cerknica Lacuna,72.16,70.08,177.27,173.58,71.12,175.56,https://planetarynames.wr.usgs.gov/Feature/16060
Chapala Lacus,72.95,72.47,141.82,143.52,142.63,72.47,https://planetarynames.wr.usgs.gov/Feature/16281
Chilwa Lacus,75.20,74.80,130.80,132.10,75.00,131.30,https://planetarynames.wr.usgs.gov/Feature/15585
Ching-tu,-30.00,-30.00,205.00,205.00,-30.00,205.00,https://planetarynames.wr.usgs.gov/Feature/6985
Chusuk Planitia,-5.00,-5.00,23.50,23.50,-5.00,23.50,https://planetarynames.wr.usgs.gov/Feature/14591
Coats Facula,-10.20,-12.10,28.00,30.30,-11.10,29.20,https://planetarynames.wr.usgs.gov/Feature/6993
Concordia Regio,-14.00,-25.00,225.00,260.00,-20.00,241.00,https://planetarynames.wr.usgs.gov/Feature/14922
Corrin Labyrinthus,-64.82,-68.57,24.10,38.18,-66.00,31.00,https://planetarynames.wr.usgs.gov/Feature/15684
Crete Facula,13.20,5.90,141.00,157.00,9.40,150.10,https://planetarynames.wr.usgs.gov/Feature/6994
Crveno Lacus,-79.09,-80.00,182.87,186.97,-79.55,184.91,https://planetarynames.wr.usgs.gov/Feature/15357
Dem Lacus,75.27,74.87,137.28,139.28,75.17,138.41,https://planetarynames.wr.usgs.gov/Feature/16284
Dilmun,15.00,15.00,175.00,175.00,15.00,175.00,https://planetarynames.wr.usgs.gov/Feature/6986
Dilolo Lacus,76.40,76.10,124.00,125.70,76.20,125.00,https://planetarynames.wr.usgs.gov/Feature/15593
Dingle Sinus,82.03,80.47,332.33,339.64,81.36,336.44,https://planetarynames.wr.usgs.gov/Feature/15707
Dolmed Montes,-8.05,-14.60,213.70,218.00,-11.60,216.80,https://planetarynames.wr.usgs.gov/Feature/14893
Doom Mons,-14.00,-15.30,40.00,41.13,-14.65,40.42,https://planetarynames.wr.usgs.gov/Feature/15044
Dridzis Lacus,79.50,78.40,129.70,132.70,78.90,131.30,https://planetarynames.wr.usgs.gov/Feature/15594
Ecaz Labyrinthus,-77.60,-85.60,20.00,62.00,-83.00,36.70,https://planetarynames.wr.usgs.gov/Feature/15258
Echoriath Montes,-6.20,-8.80,204.80,224.50,-7.40,213.80,https://planetarynames.wr.usgs.gov/Feature/14894
Eir Macula,-22.40,-25.50,113.10,116.20,-24.00,114.70,https://planetarynames.wr.usgs.gov/Feature/7004
Elba Facula,-8.00,-13.10,2.80,359.10,-10.80,1.20,https://planetarynames.wr.usgs.gov/Feature/6995
Elivagar Flumina,21.10,17.50,75.90,81.10,19.30,78.50,https://planetarynames.wr.usgs.gov/Feature/14313
Elpis Macula,34.80,29.30,21.60,32.00,31.20,27.00,https://planetarynames.wr.usgs.gov/Feature/7005
Enriquillo Lacus,71.87,70.92,238.52,236.64,71.40,237.59,https://planetarynames.wr.usgs.gov/Feature/16057
Erebor Mons,-4.30,-5.49,35.68,36.67,-4.97,36.23,https://planetarynames.wr.usgs.gov/Feature/15045
Eurus Undae,-6.20,-8.80,208.30,213.80,-7.50,210.30,https://planetarynames.wr.usgs.gov/Feature/14899
Eyre Lacuna,72.80,72.30,224.70,226.00,72.60,225.10,https://planetarynames.wr.usgs.gov/Feature/14786
Fagaloa Sinus,83.25,82.55,318.00,322.50,82.90,320.50,https://planetarynames.wr.usgs.gov/Feature/15946
Faramir Colles,5.00,3.20,152.76,154.40,4.00,153.80,https://planetarynames.wr.usgs.gov/Feature/15074
Feia Lacus,74.00,73.17,62.72,65.94,73.70,64.41,https://planetarynames.wr.usgs.gov/Feature/14316
Fena Lacus,74.74,74.39,139.08,139.86,74.57,139.53,https://planetarynames.wr.usgs.gov/Feature/16283
Fensal,5.00,5.00,30.00,30.00,5.00,30.00,https://planetarynames.wr.usgs.gov/Feature/7011
Flensborg Sinus,65.80,64.60,293.10,298.40,64.90,295.30,https://planetarynames.wr.usgs.gov/Feature/15293
Fogo Lacus,82.20,81.70,95.00,100.10,81.90,98.00,https://planetarynames.wr.usgs.gov/Feature/15629
Forseti,27.14,23.93,8.68,12.13,25.53,10.40,https://planetarynames.wr.usgs.gov/Feature/15311
Freeman Lacus,73.60,73.60,211.10,211.10,73.60,211.10,https://planetarynames.wr.usgs.gov/Feature/14854
Fundy Sinus,84.05,82.46,308.12,323.16,83.26,315.64,https://planetarynames.wr.usgs.gov/Feature/15899
Gabes Sinus,68.70,66.20,285.40,293.90,67.60,289.60,https://planetarynames.wr.usgs.gov/Feature/15292
Gammu Labyrinthus,-76.90,-78.60,245.80,256.80,-77.90,250.00,https://planetarynames.wr.usgs.gov/Feature/15551
Gamont Labyrinthus,57.90,55.99,72.80,77.50,56.80,75.00,https://planetarynames.wr.usgs.gov/Feature/15545
Gandalf Colles,16.07,13.53,208.38,210.74,14.61,209.54,https://planetarynames.wr.usgs.gov/Feature/15351
Ganesa Macula,51.30,48.10,84.60,90.00,50.00,87.30,https://planetarynames.wr.usgs.gov/Feature/6957
Gansireed Labyrinthus,-65.20,-71.40,230.60,247.60,-69.30,239.30,https://planetarynames.wr.usgs.gov/Feature/15550
Garotman Terra,0.00,-21.00,343.00,358.00,-13.50,348.00,https://planetarynames.wr.usgs.gov/Feature/14919
Gatun Lacus,73.43,71.99,180.48,176.47,72.79,178.04,https://planetarynames.wr.usgs.gov/Feature/16061
Genetaska Macula,23.70,23.20,196.10,196.60,23.50,196.30,https://planetarynames.wr.usgs.gov/Feature/15355
Genova Sinus,81.25,79.68,319.68,335.08,80.11,326.61,https://planetarynames.wr.usgs.gov/Feature/15706
Giedi Planitia,7.92,3.04,353.74,360.51,5.22,357.02,https://planetarynames.wr.usgs.gov/Feature/15653
Gihon Flumen,78.07,75.29,212.33,219.35,76.81,215.55,https://planetarynames.wr.usgs.gov/Feature/15949
Ginaz Labyrinthus,84.90,81.70,249.00,280.20,83.00,261.70,https://planetarynames.wr.usgs.gov/Feature/15546
Gram Montes,-9.30,-11.00,205.50,211.20,-9.90,207.90,https://planetarynames.wr.usgs.gov/Feature/14895
Grasmere Lacus,72.50,72.10,101.80,104.20,72.30,103.10,https://planetarynames.wr.usgs.gov/Feature/15627
Grumman Labyrinthus,-30.20,-37.10,99.10,113.90,-35.30,106.80,https://planetarynames.wr.usgs.gov/Feature/15542
Guabonito,-10.20,-11.50,149.80,151.30,-10.90,150.80,https://planetarynames.wr.usgs.gov/Feature/7017
Hagal Planitia,-56.07,-65.43,336.96,354.67,-60.59,344.95,https://planetarynames.wr.usgs.gov/Feature/15467
Hammar Lacus,49.40,47.60,306.29,312.69,48.60,308.29,https://planetarynames.wr.usgs.gov/Feature/15179
Handir Colles,10.87,9.23,355.35,357.65,10.00,356.68,https://planetarynames.wr.usgs.gov/Feature/15075
Hano,41.40,39.20,343.60,346.40,40.30,345.10,https://planetarynames.wr.usgs.gov/Feature/14902
Hardin Fretum,59.40,54.90,314.10,321.40,57.30,317.80,https://planetarynames.wr.usgs.gov/Feature/15286
Harmonthep Labyrinthus,-70.64,-73.91,87.73,114.76,-72.30,101.40,https://planetarynames.wr.usgs.gov/Feature/15686
Hawaiki Insulae,84.50,84.06,323.07,330.29,84.32,327.07,https://planetarynames.wr.usgs.gov/Feature/15945
Hetpet Regio,-15.50,-28.00,278.00,304.00,-22.00,292.00,https://planetarynames.wr.usgs.gov/Feature/14923
Hlawga Lacus,76.90,76.30,102.20,105.10,76.60,103.60,https://planetarynames.wr.usgs.gov/Feature/15628
Hobal Virga,-33.00,-38.00,150.00,183.00,-35.00,166.00,https://planetarynames.wr.usgs.gov/Feature/7007
Hotei Arcus,-23.00,-29.00,72.00,86.00,-28.00,79.00,https://planetarynames.wr.usgs.gov/Feature/7012
Hotei Regio,-26.00,-26.00,78.00,78.00,-26.00,78.00,https://planetarynames.wr.usgs.gov/Feature/14568
Hubur Flumen,-69.79,-70.94,191.58,194.38,-70.24,192.85,https://planetarynames.wr.usgs.gov/Feature/15470
Hufaidh Insulae,67.80,65.90,316.80,324.00,67.00,320.30,https://planetarynames.wr.usgs.gov/Feature/15279
Huygens Landing Site,-10.576,-10.576,167.547,167.547,-10.576,167.547,https://pds-imaging.jpl.nasa.gov/documentation/Cassini_RADAR_Users_Guide_2nd_Ed_191004_cmp_200421.pdf#page=165
Ihi,-7.40,-8.29,164.75,165.46,-7.82,165.12,https://planetarynames.wr.usgs.gov/Feature/16274
Ihotry Lacus,76.50,75.70,136.20,138.20,76.10,137.20,https://planetarynames.wr.usgs.gov/Feature/15581
Imogene Lacus,71.50,70.70,110.80,112.70,71.10,111.80,https://planetarynames.wr.usgs.gov/Feature/15599
Ipyr Labyrinthus,86.65,85.83,280.42,300.50,86.24,289.00,https://planetarynames.wr.usgs.gov/Feature/15942
Irensaga Montes,-5.00,-6.65,210.54,214.73,-5.68,212.71,https://planetarynames.wr.usgs.gov/Feature/15046
Jerid Lacuna,67.20,66.10,220.20,221.70,66.70,221.00,https://planetarynames.wr.usgs.gov/Feature/14787
Jingpo Lacus,76.00,71.00,333.00,346.00,73.00,336.00,https://planetarynames.wr.usgs.gov/Feature/14655
Junction Labyrinthus,-42.50,-52.90,209.10,221.40,-47.70,215.30,https://planetarynames.wr.usgs.gov/Feature/15544
Junín Lacus,67.00,66.80,236.70,237.20,66.90,236.90,https://planetarynames.wr.usgs.gov/Feature/14772
Kaitain Labyrinthus,53.55,50.70,345.50,352.00,52.37,348.66,https://planetarynames.wr.usgs.gov/Feature/15259
Kalseru Virga,-29.00,-41.00,131.00,139.00,-36.00,137.00,https://planetarynames.wr.usgs.gov/Feature/7008
Karakul Lacus,86.50,86.10,54.10,59.30,86.30,56.60,https://planetarynames.wr.usgs.gov/Feature/15633
Karesos Flumen,-70.04,-71.20,192.60,196.82,-70.90,194.75,https://planetarynames.wr.usgs.gov/Feature/15469
Kayangan Lacus,-86.22,-86.38,201.33,203.01,-86.30,202.17,https://planetarynames.wr.usgs.gov/Feature/15463
Kerguelen Facula,-4.30,-7.40,149.50,152.50,-5.40,151.00,https://planetarynames.wr.usgs.gov/Feature/6996
Kivu Lacus,87.50,86.40,104.00,132.40,87.00,121.00,https://planetarynames.wr.usgs.gov/Feature/14504
Koitere Lacus,79.90,78.80,33.27,40.00,79.40,36.14,https://planetarynames.wr.usgs.gov/Feature/14317
Kokytos Flumina,74.77,69.80,246.00,263.00,72.21,255.00,https://planetarynames.wr.usgs.gov/Feature/15950
Kraken Mare,81.00,55.00,274.00,335.00,68.00,310.00,https://planetarynames.wr.usgs.gov/Feature/14399
Krocylea Insulae,69.80,68.40,290.50,300.00,69.10,302.40,https://planetarynames.wr.usgs.gov/Feature/15277
Kronin Labyrinthus,-32.27,-37.10,92.80,99.40,-35.70,96.27,https://planetarynames.wr.usgs.gov/Feature/15541
Ksa,14.30,13.70,65.00,65.70,14.00,65.40,https://planetarynames.wr.usgs.gov/Feature/14221
Kumbaru Sinus,58.20,55.80,300.40,307.10,56.80,303.80,https://planetarynames.wr.usgs.gov/Feature/15299
Kutch Lacuna,90.00,86.50,165.47,248.87,88.40,217.00,https://planetarynames.wr.usgs.gov/Feature/15181
Ladoga Lacus,76.30,74.00,22.00,32.00,74.80,26.10,https://planetarynames.wr.usgs.gov/Feature/15117
Lagdo Lacus,75.80,75.10,124.30,126.80,75.50,125.70,https://planetarynames.wr.usgs.gov/Feature/15590
Lampadas Labyrinthus,-78.00,-83.70,93.00,154.00,-81.80,124.00,https://planetarynames.wr.usgs.gov/Feature/15552
Lanao Lacus,71.40,70.60,216.10,218.40,71.00,217.70,https://planetarynames.wr.usgs.gov/Feature/14773
Lankiveil Labyrinthus,-42.50,-52.40,145.60,156.40,-48.20,149.50,https://planetarynames.wr.usgs.gov/Feature/15543
Leilah Fluctus,52.20,48.77,76.00,80.50,50.50,77.80,https://planetarynames.wr.usgs.gov/Feature/14275
Lernaeus Labyrinthus,-81.20,-84.80,131.90,148.00,-83.40,138.00,https://planetarynames.wr.usgs.gov/Feature/15553
Letas Lacus,81.50,81.10,86.90,89.70,81.30,88.20,https://planetarynames.wr.usgs.gov/Feature/15630
Ligeia Mare,82.00,74.00,222.00,276.70,79.70,247.90,https://planetarynames.wr.usgs.gov/Feature/14400
Lithui Montes,85.77,83.75,88.96,145.39,84.68,112.56,https://planetarynames.wr.usgs.gov/Feature/15952
Logtak Lacus,71.00,70.60,225.50,226.70,70.80,226.10,https://planetarynames.wr.usgs.gov/Feature/14774
Luin Montes,82.63,80.72,45.01,22.85,81.98,36.26,https://planetarynames.wr.usgs.gov/Feature/16055
Lulworth Sinus,67.47,66.91,316.20,317.56,67.19,316.88,https://planetarynames.wr.usgs.gov/Feature/15898
Mackay Lacus,80.00,76.66,88.00,106.36,78.32,97.53,https://planetarynames.wr.usgs.gov/Feature/14318
