INDEX,SWATH,SEGMENT,DATE (M),DATE (D),DATE (Y),MEAN – WEST LONGITUDE (DEG),MEDIAN – WEST LONGITUDE (DEG),MIN – WEST LONGITUDE (DEG),MAX – WEST LONGITUDE (DEG),MEAN – LATITUDE (DEG),MEDIAN – LATITUDE (DEG),MIN – LATITUDE (DEG),MAX – LATITUDE (DEG),MEAN – INCIDENCE (DEG),MEDIAN – INCIDENCE (DEG),MIN – INCIDENCE (DEG),MAX – INCIDENCE (DEG),MEAN – POLARIZATION (DEG),MEDIAN – POLARIZATION (DEG),MIN – POLARIZATION (DEG),MAX – POLARIZATION (DEG),MEAN – AZIMUTH (DEG),MEDIAN – AZIMUTH,MIN – AZIMUTH,MAX – AZIMUTH,MEAN – SAR RANGE RESOLUTION (KM),MEDIAN – SAR RANGE RESOLUTION (KM),MIN – SAR RANGE RESOLUTION (KM),MAX – SAR RANGE RESOLUTION (KM),MEAN – SAR AZIMUTH RESOLUTION (KM),MEDIAN – SAR AZIMUTH RESOLUTION (KM),MIN – SAR AZIMUTH RESOLUTION (KM),MAX – SAR AZIMUTH RESOLUTION (KM),MEAN – NUMBER OF LOOKS,MEDIAN – NUMBER OF LOOKS,MIN – NUMBER OF LOOKS,MAX – NUMBER OF LOOKS
82,56,2,6,6,2009,125.04,123.35,79.31,178.12,19.94,17.58,-21.59,73.73,28.88,29.76,2.45,41.35,91.17,91.84,45.04,136.17,290.97,291.69,255.01,323.86,2.41,2.52,0.63,17.71,2.59,2.45,1.18,6.88,69.30,71.00,1.00,183.00
83,56,3,6,6,2009,138.72,138.65,123.39,153.65,25.89,25.78,12.91,39.24,12.55,12.58,1.62,22.66,128.93,128.83,126.77,134.35,30.20,5.10,0.55,359.62,1.61,0.78,0.60,10.02,1.40,1.41,1.33,1.45,3.63,3.00,1.00,24.00
84,56,4,6,6,2009,286.83,286.42,261.75,318.67,-64.20,-64.11,-77.97,-51.26,11.27,11.32,1.69,20.74,226.79,227.37,221.09,227.69,200.09,200.27,187.04,216.07,2.63,1.21,0.63,15.52,1.32,1.32,1.29,1.35,2.39,2.00,1.00,7.00
85,57,1,6,22,2009,187.37,160.79,125.98,332.33,-40.46,-46.28,-85.84,22.63,43.59,41.57,30.65,75.87,179.60,179.21,111.61,256.00,209.92,283.04,0.03,359.99,0.27,0.27,0.19,0.31,0.33,0.30,0.25,1.16,2.24,2.00,1.00,6.00
86,57,2,6,22,2009,256.55,258.95,171.78,329.56,-46.94,-46.15,-77.84,-15.07,44.21,46.63,2.26,71.93,28.42,18.40,0.02,359.99,32.59,31.96,0.11,357.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.55,29.00,1.00,112.00
87,58,1,7,8,2009,207.30,166.90,131.51,338.65,-47.45,-52.87,-88.83,10.07,21.75,20.78,8.92,39.70,181.35,179.81,134.58,260.92,292.93,334.72,0.02,359.93,0.46,0.39,0.25,3.16,0.40,0.30,0.25,2.57,5.82,6.00,1.00,15.00
88,58,2,7,8,2009,146.63,146.27,130.58,165.16,-16.63,-16.60,-42.57,10.07,35.21,35.03,12.93,61.60,230.83,245.49,149.04,278.93,280.56,280.76,0.28,359.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.44,2.00,1.00,9.00
89,58,3,7,8,2009,314.92,314.82,284.12,341.86,-27.09,-26.89,-52.70,-2.57,40.92,41.38,22.07,61.29,283.05,287.99,232.29,312.03,112.73,108.33,92.37,151.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.21,1.00,1.00,3.00
90,59,1,7,24,2009,85.54,142.74,-180.00,180.00,-60.43,-66.26,-90.00,-19.21,41.34,40.54,30.67,56.57,179.50,179.17,120.93,239.65,175.78,160.38,0.07,359.98,0.27,0.27,0.23,0.31,0.31,0.29,0.25,0.50,2.01,2.00,1.00,3.00
91,61,1,8,25,2009,236.73,235.94,162.57,311.82,-3.13,-4.26,-18.26,22.30,21.34,20.69,8.41,39.35,193.01,328.02,0.00,360.00,94.27,94.74,53.85,126.65,0.47,0.40,0.25,1.99,0.40,0.30,0.25,1.93,5.85,6.00,1.00,16.00
92,61,2,8,25,2009,157.43,157.32,133.28,182.68,-7.33,-7.38,-32.16,17.65,16.74,16.62,8.53,25.82,104.94,105.90,93.71,110.38,255.08,254.10,249.44,266.32,4.88,4.68,3.42,6.72,3.09,3.06,2.13,4.02,185.45,255.00,1.00,255.00
93,61,3,8,25,2009,157.71,157.60,134.13,182.32,-7.96,-8.01,-32.16,16.38,16.21,16.16,8.94,23.95,91.92,92.81,71.77,103.24,268.05,267.21,256.63,288.12,3.53,3.58,0.87,6.78,2.25,2.01,1.38,3.53,161.19,184.00,1.00,255.00
94,61,4,8,25,2009,159.33,159.21,134.13,185.62,-3.76,-3.79,-32.16,24.87,13.42,13.71,2.07,21.93,65.35,64.02,39.73,88.32,294.58,295.87,271.69,320.05,1.34,1.23,0.88,13.05,1.82,1.75,1.13,2.69,67.74,42.00,1.00,255.00
95,61,5,8,25,2009,169.67,169.68,161.63,177.73,11.67,11.68,3.46,19.88,20.22,20.22,17.52,22.86,50.35,50.45,49.40,50.87,68.18,68.21,67.41,68.86,0.65,0.63,0.60,0.75,1.39,1.39,1.36,1.44,3.82,3.00,1.00,11.00
96,61,6,8,25,2009,302.83,302.81,293.92,312.37,1.30,1.31,-9.63,12.23,27.66,27.55,22.51,33.13,336.89,336.85,326.52,347.27,90.74,90.83,79.70,101.57,0.38,0.38,0.30,0.47,1.01,1.00,0.97,1.03,1.77,2.00,1.00,4.00
97,64,1,12,28,2009,-90.25,-133.35,-180.00,180.00,55.67,59.30,10.66,90.00,27.13,23.86,9.02,55.71,99.27,7.24,0.00,360.00,208.99,187.87,162.57,307.75,0.43,0.36,0.24,1.90,0.40,0.32,0.25,1.66,5.04,5.00,1.00,13.00
98,65,1,1,12,2010,-21.18,2.19,-180.00,180.00,-66.68,-68.49,-90.00,-37.85,30.68,31.94,2.10,48.02,181.40,169.52,0.00,359.93,78.77,59.12,0.00,359.95,0.57,0.33,0.26,14.18,0.29,0.27,0.25,1.40,2.85,3.00,1.00,11.00
99,65,2,1,12,2010,186.86,187.01,165.19,201.61,-68.37,-68.36,-75.89,-60.96,32.14,32.23,17.44,45.04,41.96,44.48,1.99,74.03,327.89,333.43,0.09,359.83,0.35,0.35,0.26,0.47,0.44,0.43,0.30,0.65,5.96,5.00,1.00,26.00
100,65,3,1,12,2010,227.46,227.42,175.26,279.57,-34.97,-34.96,-74.96,-0.75,40.64,39.93,17.27,71.69,139.49,134.61,83.53,202.83,215.30,215.59,124.86,308.87,0.69,0.39,0.18,9.10,1.65,1.06,0.58,17.18,2.19,2.00,1.00,13.00
101,69,2,6,5,2010,4.30,0.17,-64.25,105.86,16.47,12.51,-28.82,78.18,37.10,36.17,12.06,69.95,235.99,236.78,0.06,359.98,140.03,133.94,0.05,359.89,2.77,2.43,1.33,34.16,3.26,2.61,0.84,32.31,58.15,43.00,1.00,255.00
102,71,1,7,7,2010,-57.46,-45.68,-155.71,24.72,-54.65,-56.54,-76.23,-22.68,42.53,41.30,29.14,63.13,180.08,293.14,0.03,359.97,217.00,222.79,0.08,359.86,0.28,0.28,0.22,0.32,0.33,0.30,0.25,0.61,2.15,2.00,1.00,4.00
103,77,1,6,20,2011,64.42,64.42,30.82,97.97,10.27,10.27,-0.93,21.40,22.47,22.85,3.71,32.71,120.03,24.44,0.00,360.00,86.12,92.14,44.05,99.11,0.49,0.43,0.31,1.74,0.46,0.36,0.25,1.46,6.61,7.00,1.00,12.00
104,77,2,6,20,2011,131.92,131.92,94.96,169.04,-18.14,-18.14,-48.77,12.40,61.68,60.69,48.95,80.28,56.42,23.05,0.11,359.96,346.97,347.64,332.84,354.44,1.61,1.47,1.33,2.59,4.16,2.94,1.36,14.99,121.87,117.00,1.00,255.00
105,77,3,6,20,2011,70.91,70.91,33.49,107.98,11.29,11.29,-28.90,51.40,55.50,55.69,36.84,72.09,295.43,295.06,256.59,313.16,163.30,164.29,146.02,190.81,1.84,1.62,1.36,18.89,4.46,3.67,1.91,55.21,82.18,87.00,1.00,210.00
106,83,1,5,22,2012,-43.95,16.03,-180.00,180.00,55.60,57.40,11.76,90.00,27.10,24.12,8.99,60.56,188.46,309.45,0.03,360.00,169.36,153.65,0.00,359.98,0.42,0.32,0.23,3.20,0.39,0.30,0.25,1.99,4.90,4.00,1.00,23.00
107,83,2,5,21,2012,57.53,59.51,5.09,105.40,21.95,19.21,-15.94,75.00,43.04,43.39,5.41,61.99,294.45,296.08,269.32,302.37,169.17,169.11,155.46,185.11,2.04,1.89,1.44,16.18,2.09,1.80,1.12,3.74,63.74,63.00,1.00,255.00
108,83,3,5,22,2012,176.94,175.83,126.42,228.48,14.63,13.09,-23.95,66.78,40.84,43.01,4.30,60.51,245.23,246.92,227.65,255.50,15.23,13.54,1.06,41.69,2.33,1.87,1.48,32.20,1.46,1.30,0.89,2.99,25.89,25.00,1.00,125.00
109,83,4,5,22,2012,201.69,201.68,194.16,208.98,18.51,18.51,12.48,24.43,8.77,8.78,1.57,15.35,315.55,315.68,314.14,316.39,204.95,204.85,204.46,206.52,3.35,2.01,0.86,13.75,1.39,1.41,1.29,1.53,2.76,3.00,1.00,9.00
110,84,1,6,6,2012,-71.62,-77.62,-156.28,24.40,37.07,39.67,1.84,58.14,21.72,20.98,8.93,39.88,177.56,180.03,114.11,243.86,84.19,74.20,0.08,359.92,0.47,0.40,0.24,2.13,0.42,0.31,0.25,2.08,6.10,6.00,1.00,20.00
111,84,2,6,6,2012,-20.56,-13.92,-180.00,180.00,46.53,46.16,-5.20,89.99,61.77,62.89,16.68,84.19,295.88,296.01,277.13,312.22,70.22,44.75,0.03,359.99,1.79,1.63,1.31,20.55,5.11,4.86,1.76,10.79,54.07,57.00,1.00,184.00
112,84,3,6,7,2012,237.03,238.57,181.18,283.93,-10.49,-11.63,-54.39,44.21,36.76,38.30,3.87,56.44,154.02,155.55,140.93,164.57,200.70,199.55,188.96,215.43,2.50,2.09,1.52,33.23,1.13,1.12,0.82,1.61,20.54,18.00,1.00,102.00
113,84,4,6,6,2012,6.80,6.79,-3.22,17.12,28.88,28.87,19.76,38.08,11.41,11.40,1.61,20.90,134.32,133.08,130.37,144.48,167.59,168.82,158.07,171.00,2.19,1.25,0.65,9.53,1.48,1.47,1.44,1.51,2.42,2.00,1.00,6.00
114,84,5,6,7,2012,215.89,215.89,207.12,224.69,6.94,6.95,-1.93,15.79,10.59,10.60,1.58,19.09,227.91,227.66,227.51,229.59,9.28,9.34,8.33,9.73,2.16,1.32,0.68,8.34,1.34,1.34,1.30,1.37,2.23,2.00,1.00,6.00
115,86,1,9,26,2012,-111.01,-133.80,-151.26,1.77,56.01,60.80,16.99,83.48,40.76,40.16,30.68,54.52,177.91,54.93,0.02,359.98,214.91,210.17,189.92,269.12,0.27,0.27,0.24,0.31,0.31,0.29,0.25,0.48,1.98,2.00,1.00,3.00
116,86,2,9,26,2012,-58.17,-83.11,-180.00,180.00,68.78,68.71,44.77,90.00,60.23,60.12,54.86,64.21,310.54,311.41,301.33,319.71,308.85,311.14,296.02,321.50,0.21,0.21,0.20,0.21,2.29,2.48,1.13,3.29,8.89,6.00,1.00,56.00
117,86,3,9,26,2012,-31.61,-20.31,-180.00,180.00,58.46,59.25,24.13,90.00,47.81,49.88,29.31,70.03,108.08,60.64,0.85,359.84,296.30,285.60,270.01,341.85,0.27,0.26,0.20,0.32,0.52,0.49,0.33,1.14,2.03,2.00,1.00,16.00
118,86,4,9,26,2012,216.53,216.60,189.36,246.12,2.12,2.12,-36.37,40.63,65.15,64.11,50.68,79.70,298.26,298.90,283.58,305.09,241.76,241.33,236.60,253.97,0.24,0.24,0.19,0.26,0.58,0.52,0.43,1.43,1.53,1.00,1.00,3.00
119,91,1,5,23,2013,247.80,247.69,239.53,260.70,26.27,26.29,3.92,49.12,26.79,27.42,2.85,39.09,180.83,13.05,0.00,360.00,177.40,177.08,153.72,187.77,0.36,0.33,0.26,1.96,0.28,0.27,0.25,0.36,3.69,4.00,1.00,6.00
120,91,2,5,23,2013,107.76,100.35,68.09,189.14,69.36,70.14,52.10,85.34,22.06,22.42,12.76,31.90,159.28,160.90,126.06,180.41,236.53,233.82,220.37,268.16,0.54,0.47,0.34,1.34,0.63,0.57,0.34,1.48,7.66,8.00,1.00,12.00
121,91,3,5,23,2013,34.27,144.38,-180.00,180.00,83.44,83.86,76.07,90.00,13.49,13.95,2.21,22.42,179.48,179.92,176.28,180.30,295.65,286.23,268.73,348.14,1.17,0.65,0.41,5.10,0.34,0.34,0.32,0.37,1.94,2.00,1.00,6.00
122,91,4,5,23,2013,-22.78,-23.52,-180.00,180.00,55.18,53.78,23.47,89.99,53.71,54.74,5.01,75.78,295.22,295.38,279.67,316.08,310.49,310.77,0.09,359.31,1.68,1.48,1.30,24.29,3.71,2.82,1.12,11.83,87.93,87.00,1.00,255.00
123,91,5,5,23,2013,221.67,221.28,175.42,268.98,-16.55,-16.27,-47.87,10.12,31.60,30.87,6.72,47.10,310.38,298.65,291.93,347.96,58.26,66.66,32.70,72.92,4.20,5.12,1.75,21.42,3.07,2.76,0.95,7.29,46.58,32.00,1.00,255.00
124,91,6,5,23,2013,73.73,74.12,49.46,100.12,64.14,64.07,56.42,70.87,13.82,13.86,1.89,25.55,141.52,139.80,137.50,154.81,226.60,229.48,205.04,235.84,1.82,0.79,0.47,12.07,1.28,1.30,1.18,1.36,2.75,2.00,1.00,11.00
125,91,7,5,23,2013,243.72,243.71,236.57,251.78,48.97,48.97,43.66,54.12,10.07,9.99,2.17,18.28,351.20,358.10,0.10,359.94,181.11,181.31,176.79,183.94,1.56,1.06,0.50,5.44,0.26,0.26,0.25,0.26,2.13,2.00,1.00,4.00
126,91,8,5,23,2013,241.54,241.54,237.51,245.60,5.10,5.10,2.08,8.13,4.64,4.53,1.95,7.83,1.92,1.67,0.76,4.41,168.95,169.18,166.25,170.42,3.12,2.61,1.22,6.99,0.33,0.33,0.32,0.35,1.77,2.00,1.00,4.00
127,91,9,5,23,2013,241.27,241.13,156.98,322.70,77.24,77.44,66.03,89.12,4.32,4.16,3.04,5.88,89.91,87.79,0.57,179.46,154.15,119.45,41.80,347.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,1.00,1.00,2.00
128,92,1,7,10,2013,-85.45,-118.66,-180.00,180.00,33.91,38.79,-36.03,90.00,19.89,19.08,1.66,39.79,189.46,164.54,0.00,360.00,194.21,185.88,3.02,357.76,0.58,0.46,0.25,13.79,0.42,0.30,0.25,2.17,6.14,6.00,1.00,23.00
129,92,2,7,10,2013,224.79,223.35,147.43,313.34,-19.36,-16.71,-60.99,6.45,39.93,41.69,4.52,69.36,109.21,106.41,84.74,253.52,127.32,130.51,32.64,138.40,2.38,1.87,1.35,50.08,1.27,1.16,0.93,24.63,16.60,11.00,1.00,148.00
130,92,3,7,10,2013,-22.46,-13.53,-180.00,180.00,49.02,48.36,13.87,89.99,56.94,60.85,5.27,84.45,272.43,282.50,137.48,315.29,265.52,283.40,0.60,359.80,3.96,1.48,1.28,64.25,6.28,4.75,1.47,56.88,61.57,55.00,1.00,210.00
131,95,1,10,14,2013,194.73,198.71,138.54,227.24,8.06,8.89,-60.17,74.40,39.93,37.60,20.62,70.15,179.25,178.67,99.66,266.08,194.29,287.48,0.02,359.97,0.39,0.38,0.30,1.57,0.43,0.34,0.25,4.46,2.12,2.00,1.00,3.00
132,95,2,10,14,2013,-25.11,-97.07,-180.00,180.00,-49.64,-52.10,-89.99,-5.34,25.00,23.89,6.48,47.33,174.38,62.17,0.01,359.99,56.64,46.74,0.04,359.91,3.69,3.51,2.34,24.36,2.12,2.07,1.43,2.96,75.74,73.00,1.00,209.00
133,95,3,10,14,2013,-86.27,-108.88,-180.00,180.00,52.77,52.54,16.38,89.99,45.13,47.78,19.08,63.20,287.65,286.33,273.85,310.46,253.74,253.92,241.37,260.71,1.75,1.64,1.51,3.60,2.42,2.74,0.94,4.49,88.07,76.00,1.00,255.00
134,98,1,2,2,2014,52.05,160.31,-180.00,180.00,-60.25,-61.22,-90.00,-26.39,21.95,21.97,11.48,34.49,186.25,179.98,172.35,235.45,318.40,351.81,0.01,360.00,0.47,0.41,0.29,1.57,0.44,0.32,0.25,1.44,6.61,7.00,1.00,18.00
135,98,2,2,2,2014,13.62,49.42,-180.00,180.00,-58.43,-58.65,-89.99,-23.09,38.99,39.67,11.45,57.79,260.77,333.06,0.01,359.97,73.36,62.38,0.00,359.98,2.92,2.88,1.71,24.84,3.32,3.16,1.92,11.33,64.52,53.00,1.00,255.00
136,98,3,2,2,2014,-49.99,-129.67,-180.00,180.00,34.72,35.81,-24.81,89.99,48.99,48.07,28.33,75.78,259.99,257.59,233.56,316.77,229.62,230.48,207.89,246.34,1.78,1.73,1.33,2.85,2.81,2.05,0.91,11.45,28.65,21.00,1.00,224.00
137,98,4,2,2,2014,274.40,272.49,194.88,341.23,-79.75,-79.86,-88.92,-70.78,13.71,13.90,1.82,23.40,205.60,206.04,188.90,220.96,199.30,198.75,194.54,205.75,2.06,1.14,0.53,13.49,1.97,1.91,1.25,3.40,8.39,9.00,1.00,14.00
138,104,1,8,21,2014,-9.96,-8.27,-38.21,7.99,21.72,22.16,-13.63,57.66,37.88,37.38,16.95,54.57,131.14,35.57,0.00,359.99,320.75,322.06,292.14,339.50,0.29,0.28,0.24,0.50,0.29,0.28,0.25,0.49,2.52,2.00,1.00,6.00
139,104,2,8,21,2014,245.44,241.41,194.90,331.99,75.41,74.93,63.09,87.45,10.78,10.55,2.02,19.43,224.86,222.32,51.56,359.76,266.56,331.77,0.13,359.96,2.39,1.68,0.57,16.90,1.92,1.48,0.58,14.06,9.95,8.00,1.00,100.00
140,104,3,8,21,2014,-12.94,-13.31,-54.72,33.45,-3.01,-3.55,-35.71,39.24,58.17,58.21,39.71,75.87,320.06,320.06,300.07,343.74,60.06,59.50,49.67,70.56,1.64,1.53,1.29,2.38,4.04,3.45,1.55,8.68,49.81,39.00,1.00,242.00
141,104,4,8,21,2014,1.09,0.96,-6.95,10.38,-24.39,-24.37,-41.21,-7.05,64.42,66.46,50.49,72.40,62.34,61.59,54.70,75.94,289.45,290.38,274.29,295.60,0.24,0.25,0.21,0.27,0.60,0.54,0.44,1.24,2.33,2.00,1.00,4.00
142,104,5,8,21,2014,335.71,335.75,318.17,351.78,59.52,59.43,50.97,68.47,11.53,11.32,2.18,22.06,351.70,351.68,347.70,356.28,308.79,308.83,304.06,312.99,1.27,0.79,0.42,6.14,0.30,0.30,0.28,0.32,3.05,3.00,1.00,5.00
143,104,6,8,21,2014,310.87,314.59,266.56,344.94,70.68,71.37,60.30,78.45,4.65,4.48,2.76,7.18,91.02,47.66,0.00,360.00,222.35,248.80,3.47,343.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.98,6.00,1.00,14.00
144,108,1,1,11,2015,16.62,17.39,-20.74,44.23,35.49,35.53,-8.28,79.00,21.61,15.64,1.69,65.23,193.65,181.90,5.12,355.39,157.11,169.81,4.09,357.62,1.32,0.81,0.21,15.84,0.93,0.70,0.26,16.64,5.10,5.00,1.00,61.00
145,108,2,1,11,2015,223.53,216.72,195.99,287.79,69.35,69.86,50.84,88.78,7.76,7.64,1.72,13.73,192.94,242.71,0.00,360.00,192.37,199.89,0.47,359.43,2.15,1.35,0.54,16.84,0.41,0.32,0.27,3.74,4.49,4.00,1.00,13.00
146,108,3,1,11,2015,-9.88,-10.92,-60.31,47.88,0.36,-0.06,-47.26,53.13,42.07,42.67,4.58,61.63,228.48,229.77,207.72,285.54,41.81,39.80,1.23,61.04,2.14,1.89,1.43,24.75,2.41,2.45,1.00,4.12,51.93,37.00,1.00,255.00
147,108,4,1,11,2015,17.15,17.15,12.06,22.24,0.59,0.59,-6.28,7.43,11.09,11.13,2.37,17.56,108.85,108.05,107.74,113.02,244.47,244.75,241.45,245.31,3.85,2.58,1.69,12.90,3.13,3.19,2.86,3.62,3.76,3.00,1.00,13.00
148,108,5,1,11,2015,52.14,105.79,-180.00,180.00,55.63,54.34,22.34,89.99,65.77,65.56,56.19,77.43,11.88,11.93,9.75,16.35,46.30,39.84,0.55,359.84,1.70,1.79,1.36,1.82,6.21,6.17,5.31,6.95,48.66,34.00,1.00,218.00
149,113,1,9,28,2015,65.89,65.90,-6.87,138.65,-10.09,-10.09,-19.79,-0.15,27.61,23.33,3.79,66.82,205.42,306.63,0.01,360.00,273.01,273.39,190.73,352.90,0.60,0.33,0.22,5.92,0.48,0.31,0.25,5.42,4.52,4.00,1.00,14.00
150,113,2,9,28,2015,129.93,129.93,105.18,154.78,-3.75,-3.75,-27.54,20.07,10.56,10.54,1.78,18.68,62.00,63.22,55.15,63.56,211.52,210.35,210.00,218.17,3.27,1.82,1.08,15.78,2.05,2.04,1.97,2.65,2.70,2.00,1.00,8.00
151,113,3,9,28,2015,322.77,322.74,294.11,351.27,-35.42,-35.42,-63.29,-7.56,62.85,62.61,52.82,75.03,249.40,249.47,246.03,252.51,318.91,318.27,317.25,322.86,0.21,0.21,0.17,0.25,1.82,1.80,1.76,2.05,1.21,1.00,1.00,2.00
152,113,4,9,28,2015,-17.78,-17.78,-39.11,3.49,-11.18,-11.18,-32.44,10.10,24.25,24.27,21.90,26.56,230.59,230.57,230.37,230.83,319.49,319.46,319.06,319.99,0.63,0.63,0.59,0.66,2.15,2.15,2.13,2.17,1.29,1.00,1.00,2.00
153,113,5,9,28,2015,9.90,9.90,-29.92,49.44,2.02,2.02,-21.78,25.98,40.90,41.56,16.21,51.65,284.92,284.86,282.87,287.06,175.56,175.46,174.10,177.57,1.87,1.42,0.42,5.28,23.14,22.71,18.52,28.61,1.09,1.00,1.00,3.00
154,113,6,9,28,2015,31.04,31.05,-12.75,74.41,21.87,21.87,-10.78,54.74,54.40,53.98,37.54,86.15,297.96,294.25,286.41,314.99,160.44,163.11,143.91,174.39,1.64,1.55,1.26,2.49,4.60,4.13,2.22,10.25,67.52,50.00,1.00,255.00
155,120,1,6,7,2016,140.62,161.24,4.36,213.04,-37.06,-43.71,-81.20,25.32,27.51,24.70,9.05,75.48,185.76,179.87,116.20,249.76,227.73,219.45,0.01,359.94,0.43,0.38,0.17,1.90,0.42,0.32,0.25,1.83,4.94,4.00,1.00,14.00
156,120,3,6,7,2016,200.30,199.69,183.30,219.83,28.50,28.71,11.21,45.61,35.60,36.20,9.77,52.49,260.37,260.44,259.93,260.70,139.91,139.13,134.46,148.09,2.55,2.22,1.05,5.83,6.61,6.50,6.25,7.57,1.54,2.00,1.00,3.00
157,120,5,6,7,2016,151.13,147.07,84.52,264.38,33.74,35.77,-34.99,89.91,37.23,36.87,10.52,64.84,257.71,260.03,157.10,301.28,249.47,330.60,0.01,359.99,2.90,2.86,1.36,14.23,3.02,2.57,1.52,10.14,45.42,36.00,1.00,255.00
158,121,1,7,25,2016,126.00,128.08,49.97,200.09,-5.88,-7.13,-58.88,52.61,21.33,20.62,2.08,39.59,160.85,179.84,0.00,360.00,180.60,226.17,27.81,252.10,0.53,0.43,0.25,13.24,0.42,0.31,0.25,1.83,6.22,6.00,1.00,14.00
159,121,2,7,25,2016,60.40,60.37,52.39,69.94,-35.49,-35.49,-43.77,-27.08,12.12,12.11,1.61,22.42,45.60,47.23,33.74,49.18,39.11,39.02,36.30,42.89,2.36,1.08,0.61,14.49,1.43,1.44,1.36,1.62,2.75,2.00,1.00,9.00
160,121,3,7,25,2016,188.90,188.95,179.20,197.70,29.49,29.49,20.47,38.61,12.13,12.13,1.60,21.81,225.43,225.78,222.66,227.26,206.40,207.43,200.44,210.21,1.72,0.83,0.59,9.56,1.31,1.29,1.25,1.43,3.17,3.00,1.00,17.00
161,121,5,7,25,2016,211.59,210.70,120.93,302.23,0.03,-1.42,-48.39,50.00,52.34,52.03,25.70,83.81,65.29,57.53,24.15,149.33,285.96,292.63,228.78,311.87,1.63,1.54,1.28,2.74,4.01,3.93,1.66,9.28,60.27,44.00,1.00,255.00
162,121,6,7,25,2016,72.05,72.65,7.76,137.45,-18.56,-17.92,-61.00,26.50,40.61,39.25,4.44,64.43,218.34,217.04,189.59,260.04,123.24,125.03,96.58,139.60,2.23,2.05,1.63,24.19,2.06,1.69,0.94,4.87,42.03,46.00,1.00,130.00
163,126,1,4,22,2017,-105.25,-114.80,-180.00,180.00,63.17,63.68,36.56,90.00,16.50,16.48,1.96,27.27,161.01,27.44,0.00,360.00,166.82,161.50,1.94,358.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.03,7.00,1.00,23.00
164,126,2,4,22,2017,81.26,78.47,46.07,138.81,52.35,52.57,21.17,83.49,35.20,35.74,2.14,51.94,91.89,34.07,0.00,360.00,201.09,316.44,0.01,359.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.35,2.00,1.00,4.00
165,126,3,4,22,2017,75.92,76.14,3.11,146.62,-0.55,-0.79,-52.59,52.30,32.10,32.50,3.81,55.98,147.23,141.11,67.33,265.22,122.03,130.45,14.91,187.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.86,19.00,1.00,255.00
166,126,4,4,22,2017,62.66,62.60,56.16,69.38,14.48,14.47,-0.73,29.32,60.10,60.37,48.02,71.08,63.97,64.04,58.09,69.48,306.30,306.18,301.54,311.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.91,2.00,1.00,3.00
167,126,5,4,22,2017,-43.95,-47.32,-180.00,180.00,35.39,33.77,-21.15,90.00,43.10,45.63,3.91,80.15,274.45,330.64,0.07,359.97,139.93,144.16,0.38,359.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.57,23.00,1.00,255.00
